iter	Passed	Remaining
859	110755	18030
860	110868	17898
861	111019	17773
862	111121	17640
863	111224	17507
864	111329	17375
865	111428	17241
866	111551	17112
867	111669	16981
868	111793	16852
869	111885	16718
870	111998	16587
871	112092	16453
872	112195	16321
873	112305	16190
874	112393	16056
875	112488	15923
876	112622	15795
877	112719	15662
878	112815	15529
879	112918	15397
880	113019	15265
881	113124	15134
882	113218	15001
883	113315	14869
884	113407	14736
885	113526	14607
886	113620	14474
887	113721	14343
888	113816	14211
889	113924	14080
890	114032	13950
891	114137	13819
892	114219	13685
893	114306	13553
894	114396	13420
895	114494	13289
896	114601	13159
897	114687	13026
898	114782	12895
899	114879	12764
900	114982	12634
901	115073	12502
902	115165	12371
903	115254	12239
904	115366	12110
905	115465	11979
906	115567	11849
907	115651	11717
908	115734	11586
909	115824	11455
910	115931	11325
911	116027	11195
912	116122	11065
913	116224	10935
914	116327	10806
915	116428	10676
916	116534	10547
917	116623	10417
918	116718	10287
919	116809	10157
920	116915	10028
921	117019	9899
922	117111	9769
923	117204	9640
924	117298	9510
925	117397	9381
926	117497	9252
927	117609	9124
928	117701	8995
929	117841	8869
930	117946	8741
931	118044	8612
932	118148	8484
933	118241	8355
934	118344	8227
935	118438	8098
936	118531	7969
937	118649	7842
938	118768	7715
939	118887	7588
940	118980	7459
941	119069	7331
942	119192	7204
943	119298	7077
944	119392	6948
945	119497	6821
946	119615	6694
947	119775	6569
948	119864	6441
949	120006	6316
950	120106	6188
951	120243	6062
952	120353	5935
953	120461	5808
954	120573	5681
955	120728	5556
956	120932	5433
957	121077	5308
958	121249	5183
959	121350	5056
960	121454	4928
961	121583	4802
962	121689	4675
963	121782	4547
964	121886	4420
965	121990	4293
966	122156	4168
967	122262	4041
968	122429	3916
969	122531	3789
970	122635	3662
971	122823	3538
972	123103	3416
973	123292	3291
974	123400	3164
975	123500	3036
976	123591	2909
977	123691	2782
978	123793	2655
979	123896	2528
980	124037	2402
981	124124	2275
982	124218	2148
983	124318	2021
984	124459	1895
985	124547	1768
986	124659	1641
987	124774	1515
988	124891	1389
989	125010	1262
990	125183	1136
991	125281	1010
992	125416	884
993	125557	757
994	125676	631
995	125777	505
996	125903	378
997	126011	252
998	126112	126
999	126202	0
